MESSAGE	MSGID
       will be suspect if the product group is modified below	2
    Last Advance Date:     ~p1	3
   Unadvanced Balance: ~p1	4
  Balance Last Advance: ~p1	5
  Capitalized deferred int/div: ~p1	6
 High Bal Since Zero: ~p1	7
  High Balance - Life: ~p1	8
Escrow overage check information not defined	9
  Neg Amort Reduction: ~p1	10
  Principal Only Pmts: ~p1	11
Fee ~p1 currently linked to fee ~p2. Multiple linkages not allowed.	12
Account must be a vostro account	13
 Back	14
 Fee: ~p1	15
 Forward	16
Vostro statement scheduled for account ~p1	17
 of ~p1	18
Vostro statement not scheduled for account ~p1	19
 Page ~p1  Press any key to stop operation	20
 Recalculated Balance: ~p1	21
 Total Escrow Balance: ~p1	22
~p1 of check holds remain unallocated	23
 Percent held ~p1 # ~p2 cannot be greater than # ~p3	24
Error processing vostro statement	25
"E"BCIDIC or "A"SCII only	26
"L"abeled or "U"nlabeled only	27
Must have charge option before entering fee lookup table	28
~p1 total errors, only 15 displayed	29
End of report 	30
No analysis frequency set in loan	31
Penalty rate already defined	32
Schedule type 1 cannot have tier type ~p1	33
No fee percent allowed without query name	34
No fee lookup table allowed without query name	35
Stop payment created	36
Stop payment not created	37
Stop payment modified	38
Stop payment not modified	39
Stop payment deleted	40
Stop payment not deleted	41
Option 0 required when Int/Div Available Flag is 2	42
Option other than 2 required when Reset Int/Div Available is 1 or 2	43
Valid files are CIF, DEP, LN, or ZCIF, ZDEP, ZLN	44
Access BUILD option in SYSDEV library only	45
Provision override on file	46
Access key	47
Access key ~p1 is not defined	48
Access key ~p1 not resident in ~p2 file	49
Fee lookup table returned no service fee	50
Account already closed	51
Account already converted	52
Account already exists	53
Account balance not supported by HIST file	54
Account ~p1 closed	55
Account currently on file for seller ~p1, pool ~p2	56
Account does not exist	57
Account does not exist in problem loan file	58
Account does not exist in tickler file	59
Account does not have escrows associated with this type and payee	60
Changes to account's due date prohibited when the payment frequency field is empty	61
Account has not been sold	62
Account in use	63
Account is already linked to commitment ~p1	64
Account is non-revolving	65
Account is not coded for commitment processing	66
Account is not coded for undisbursed processing	67
Account is not owned by customer ~p1	68
Account is not set up for ~p1 processing	69
Adjusted payoff amount cannot bring accrued interest negative	70
Account matures on ~p1	71
Account modified	72
 Account ~p1 must have interest calculated at billing	73
Closeout notification table copied.  Run function DDPXFR.	74
Closeout notification table not copied	75
Account not closed	76
Copy closeout notification entries to another group	77
Account not coded for loan budget processing	78
Account not coded for undisbursed processing	79
Account not converted or already reset	80
Account ~p1 not disbursed	81
Account not linked to any commitments	82
Account not modified	83
Account not on concentrator file	84
Account not set up for Account Reconciliation System	85
Pre-existing entries within destination group will not be copied	86
Account number cannot be modified	87
Account number must be positive integer	88
Account Reconciliation System data deleted	89
Account Reconciliation System data modified	90
Account Reconciliation System data not deleted	91
Account Reconciliation System data not modified	92
