DES	MENU	PRMPT
DATA-QWIK	800	Enter DATA-QWIK Function
Filer Definition	805	Enter Filer Definition
Trigger Definition	807	Enter Trigger Definition function
Index File Definition	808	Enter Index File Definition Function
Journal File Definition	809	Enter Journal File Definition Function
File Definition	810	Enter File Definition Function
User-Defined Data Types Functions	811	Enter Data Type Function
Master Dictionary	812	Enter Master Data Dictionary Function
Data Item Protection	814	Enter Data Item Protection Function
Foreign Key Definition	819	Enter Foreign Key Definition Function
Screen Definition	820	Enter Screen Definition Function
Procedure Definition	825	Enter Procedure Definition function
SQL	830	Enter SQL function
Batch Definition	833	Enter Batch Definition function
Query Definition	840	Enter Query Definition Function
Report Definition	850	Enter Report Definition Function
QWIK Report Definition	860	Enter QWIK Report Function
Pre/Post-Processor Library	880	Enter Pre/Post Proc Library Function
Table Value Documentation	881	Table Value Documentation Function
Int/Div Matrix Utility	883	Enter Int/Div Matrix Utility function
Maintaining menu number for future use	890	Menu is empty
Archiving	891	Enter Archiving Function
Data Entry	895	Enter Data Entry Function
Export/Import DQ Definitions	896	Enter Export/Import Function
Aggregate Definitions	897	Enter Aggregate Function
Documentation	898	Enter Documentation Function
Utilities	899	Enter Utilities Function
